id	type	study	condition	shannon_entropy
#q2:types	categorical	categorical	categorical	numeric
SRR2225468_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.31942452597938
SRR2154305_CERILLO_2016	single-end	CERILLO_2016	CHORUME	3.9458520569345
SRR2053264_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.49679026499658
SRR5922776_IRENA_2017	single-end	IRENA_2017	LODO	2.49740046531719
SRR3211889_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.77943624366856
SRR2053255_CERILLO_2016	single-end	CERILLO_2016	CHORUME	3.55200274664493
SRR2053265_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.19189458354189
SRR5922774_IRENA_2017	single-end	IRENA_2017	LODO	4.54817321329787
SRR5124915_PARK_2017	single-end	PARK_2017	LODO	5.94022327149038
SRR2053262_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.32497077328699
SRR3189287_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.95750470336161
SRR5922775_IRENA_2017	single-end	IRENA_2017	LODO	3.0280568868732
SRR1802176_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.30912150912517
SRR2053258_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.89727991080128
SRR3342207_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.90107972118457
SRR2053259_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.4054680415196
SRR10168396_GUO_2020	single-end	GUO_2020	LODO	5.80498575786361
SRR3342204_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.28986612422872
SRR3342206_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.752737580784
SRR3211888_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.98349101639755
SRR5895950_ZHANG_2018	single-end	ZHANG_2018	LODO	5.94505607898091
SRR2053260_CERILLO_2016	single-end	CERILLO_2016	CHORUME	5.71290869043742
SRR3211891_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.7388033908559
SRR6796664_ZAKARIA_2018	single-end	ZAKARIA_2018	LODO	2.79711303352777
SRR2154307_CERILLO_2016	single-end	CERILLO_2016	CHORUME	3.30751548428381
SRR6023942_IRENA_2017	single-end	IRENA_2017	LODO	3.80881543183554
SRR2154303_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.42069844909636
SRR5922777_IRENA_2017	single-end	IRENA_2017	LODO	3.21660046668937
SRR1802174_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.78448963630574
SRR3211890_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.45807010683122
SRR2053267_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.21616939023249
SRR2053257_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.25857054279045
SRR6796665_ZAKARIA_2018	single-end	ZAKARIA_2018	LODO	3.50204706641602
SRR3342205_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.78150574770324
SRR1802177_CERILLO_2016	single-end	CERILLO_2016	CHORUME	6.74353519410962
SRR2225470_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.65183644994999
SRR2053256_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.05845016512155
SRR3189289_CERILLO_2016	single-end	CERILLO_2016	CHORUME	4.91040214660714
SRR30160165_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.20993046172931
SRR30160132_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.27664017054421
SRR13855345_BEIHANG_2022	paired-end	BEIHANG_2022	LODO	5.97701117891101
SRR30160130_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.22703786011793
SRR30160157_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.46294785315868
SRR25536411_CUOG_2023	paired-end	CUOG_2023	LODO	7.67348778155168
SRR25536417_CUOG_2023	paired-end	CUOG_2023	LODO	6.69726877993655
SRR10131553_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.33029628168262
SRR30160146_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.92662241981066
SRR15714624_CASR_2022	paired-end	CASR_2022	LODO	4.50786145670243
SRR18494400_CAO_2019	paired-end	CAO_2019	LODO	4.43151055302965
SRR30160127_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.59707601624467
SRR10131551_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.45871091276053
SRR3216403_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.18802942476938
SRR12327344_ALBARRACIN-ARIAS_2021	paired-end	ALBARRACIN-ARIAS_2021	OLEO	7.38140567137436
SRR30160129_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.46357544964947
SRR3214536_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.88934100509151
SRR24888897_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.25364237845709
SRR30160152_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.92850922658715
SRR3216397_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.26051777209188
SRR21755284_DONGHUA_2022	paired-end	DONGHUA_2022	LODO	5.53083297145397
SRR8618606_LIU_2019	paired-end	LIU_2019	LODO	6.78636014490567
SRR5133620_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	5.33183837772289
SRR30160140_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.5712090725317
SRR5121315_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.65069913165561
SRR20853645_LASCU_2022	paired-end	LASCU_2022	LODO	9.1152476758198
SRR5133617_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	4.02257248524308
SRR14119288_SPIESS_2021	paired-end	SPIESS_2021	LODO	1.56032564873427
SRR14119287_SPIESS_2021	paired-end	SPIESS_2021	LODO	2.51775532093652
SRR30160139_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.82565820431799
SRR3214613_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.95724713178558
SRR3214649_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.94771224759055
SRR13855344_BEIHANG_2022	paired-end	BEIHANG_2022	LODO	5.99634791920451
DRR445947_FIHES_2023	paired-end	FIHES_2023	LODO	4.22135128067598
SRR14119289_SPIESS_2021	paired-end	SPIESS_2021	LODO	2.49042192124224
SRR10267802_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.15806411324906
SRR11319465_WANG_2021	paired-end	WANG_2021	LODO	4.6064661458998
SRR5487641_PARK_2017	paired-end	PARK_2017	LODO	8.20192070211564
SRR13855342_BEIHANG_2022	paired-end	BEIHANG_2022	LODO	5.37692248898202
SRR8272157_ZHEJIANG_2020	paired-end	ZHEJIANG_2020	LODO	5.04116647175098
SRR13855343_BEIHANG_2022	paired-end	BEIHANG_2022	LODO	6.39050805204337
SRR30160120_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.2650324954691
DRR445948_FIHES_2023	paired-end	FIHES_2023	LODO	4.35490581966073
SRR20853643_LASCU_2022	paired-end	LASCU_2022	LODO	9.08481284626906
SRR30160167_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.18538078123027
SRR25536421_CUOG_2023	paired-end	CUOG_2023	LODO	7.50108475155795
SRR30160150_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.31642792351497
SRR11319474_WANG_2021	paired-end	WANG_2021	LODO	4.25526768509608
SRR6072276_ALAGAPPA_2017	paired-end	ALAGAPPA_2017	SOLO	7.31182958100094
SRR30160151_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.95526613731692
SRR30160125_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.51212933665335
SRR25536410_CUOG_2023	paired-end	CUOG_2023	LODO	7.80933697975627
SRR5487632_PARK_2017	paired-end	PARK_2017	LODO	8.49273816087801
SRR30160162_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.22180797111169
SRR30160141_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.47207054731925
SRR5487638_PARK_2017	paired-end	PARK_2017	LODO	8.62950272857629
SRR3215144_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.14462558053939
SRR3216404_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.66110320539575
SRR3215242_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.20302848592329
SRR30160135_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.43375176548286
SRR25536405_CUOG_2023	paired-end	CUOG_2023	LODO	6.92925365071526
SRR6072278_ALAGAPPA_2017	paired-end	ALAGAPPA_2017	SOLO	7.77042964733734
SRR3214554_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.93488925519909
SRR26284398_SCUT_2023	paired-end	SCUT_2023	LODO	5.37203582494588
SRR5340195_PENN_2017	paired-end	PENN_2017	LODO	4.24470216049955
SRR30160145_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.88295462977821
SRR25536412_CUOG_2023	paired-end	CUOG_2023	LODO	7.60563682698107
SRR3215152_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.03572258326235
SRR3215291_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.08732921676718
SRR5133621_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	3.82153205501477
SRR30160138_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.86150042242035
SRR24888904_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	5.39634426407959
SRR25536415_CUOG_2023	paired-end	CUOG_2023	LODO	7.48590311750926
SRR3215174_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.97425255033662
SRR5133626_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	5.07799101500383
SRR21755285_DONGHUA_2022	paired-end	DONGHUA_2022	LODO	5.16445504550939
SRR3215202_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.84082269309691
SRR25536409_CUOG_2023	paired-end	CUOG_2023	LODO	7.16516771711568
SRR10131529_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.63033536744289
SRR25536404_CUOG_2023	paired-end	CUOG_2023	LODO	3.78664563445746
SRR5340197_PENN_2017	paired-end	PENN_2017	LODO	4.26301368722415
SRR14119286_SPIESS_2021	paired-end	SPIESS_2021	LODO	2.30882325706509
SRR5133614_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	5.66942677257294
SRR24888903_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.02108118518592
SRR25536418_CUOG_2023	paired-end	CUOG_2023	LODO	6.68802510992504
SRR3214699_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.98572837885496
SRR3216395_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.06068291399707
SRR30160128_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.66733320234634
SRR30160158_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.76159829017701
SRR30160159_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.39161406658668
SRR30160123_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.4458031354614
SRR5121313_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	6.95220408856951
SRR24888898_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.01914448232548
SRR10131528_ZHANG_2020	paired-end	ZHANG_2020	LODO	5.70860123563784
SRR15879218_GUALTIERI_2023	paired-end	GUALTIERI_2023	LODO	7.51574141459673
SRR8272160_ZHEJIANG_2020	paired-end	ZHEJIANG_2020	LODO	6.26980961023017
SRR24888902_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	5.8313361266032
SRR26068520_LASCU_2022	paired-end	LASCU_2022	LODO	4.87338700806518
SRR30160142_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.93348252406674
SRR5340196_PENN_2017	paired-end	PENN_2017	LODO	4.5436295554462
SRR5487635_PARK_2017	paired-end	PARK_2017	LODO	8.54706880261197
SRR8618605_LIU_2019	paired-end	LIU_2019	LODO	4.36834023319956
SRR25536401_CUOG_2023	paired-end	CUOG_2023	LODO	7.40192303991183
SRR5487629_PARK_2017	paired-end	PARK_2017	LODO	8.69210033805757
SRR27374969_DONGHUA_2023	paired-end	DONGHUA_2023	LODO	4.47348121892535
SRR30160156_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.47949982614444
SRR12328004_ALBARRACIN-ARIAS_2021	paired-end	ALBARRACIN-ARIAS_2021	OLEO	5.17958793620395
SRR27374970_DONGHUA_2023	paired-end	DONGHUA_2023	LODO	5.01394467824444
SRR20853640_LASCU_2022	paired-end	LASCU_2022	LODO	9.18068208718635
SRR30160133_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.22210404519054
SRR10267800_ZHANG_2020	paired-end	ZHANG_2020	LODO	3.81599410392211
SRR24018451_SPIESS_2023	paired-end	SPIESS_2023	LODO	2.26835170687476
SRR30160126_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.70669952331118
SRR5133618_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	6.08152842814036
SRR15714623_CASR_2022	paired-end	CASR_2022	LODO	3.75963020531698
SRR30160144_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.11576509470196
SRR18494402_CAO_2019	paired-end	CAO_2019	LODO	5.93258872192082
SRR30160136_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.72643481026324
SRR3214547_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.91963917278844
SRR30160163_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.25346614144696
SRR11319473_WANG_2021	paired-end	WANG_2021	LODO	4.87772777325432
SRR17982066_LI_2022	paired-end	LI_2022	LODO	4.3226368973585
SRR20853642_LASCU_2022	paired-end	LASCU_2022	LODO	9.13154901115144
SRR3216396_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.04799585235834
SRR5121312_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.310970207209
SRR25536406_CUOG_2023	paired-end	CUOG_2023	LODO	8.02776445787563
SRR30160160_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.42390894645116
SRR24888905_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.3359911595597
SRR30160147_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.838631650451
SRR5133622_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	3.86145897955578
SRR18494399_CAO_2019	paired-end	CAO_2019	LODO	3.83368526221067
SRR3214573_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.19248754394821
SRR5133624_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	5.18299379905299
SRR25536402_CUOG_2023	paired-end	CUOG_2023	LODO	7.09444606810629
SRR3216392_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.26534206747421
SRR25536416_CUOG_2023	paired-end	CUOG_2023	LODO	7.57309303108918
SRR30160154_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.93488320506616
SRR26068517_LASCU_2022	paired-end	LASCU_2022	LODO	3.63405601461926
SRR26068519_LASCU_2022	paired-end	LASCU_2022	LODO	4.13035137090487
SRR30160122_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.15833340414571
SRR17982068_LI_2022	paired-end	LI_2022	LODO	3.94648753661383
SRR5133615_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	4.12828784799455
SRR10131550_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.59471055251499
SRR30160148_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.78383308112008
SRR30160166_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.17217885216976
SRR3216391_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.11003442873002
SRR30160137_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.57941160251249
SRR30160161_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.11795035873588
SRR25536420_CUOG_2023	paired-end	CUOG_2023	LODO	7.36424873493559
SRR3216398_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.07931563728503
SRR6914763_SCHMIDT_2018	paired-end	SCHMIDT_2018	BIOFILME	2.69246369022903
SRR30160134_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.50041945946304
SRR30160143_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.91481279098696
SRR24888899_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.09391947655458
SRR25536400_CUOG_2023	paired-end	CUOG_2023	LODO	7.51861674103113
SRR8618613_LIU_2019	paired-end	LIU_2019	LODO	3.5140172453996
SRR17982067_LI_2022	paired-end	LI_2022	LODO	3.86091731224108
SRR30160124_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.65676228873342
SRR30160149_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.62741893566035
SRR24888901_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.18464098795555
SRR20853644_LASCU_2022	paired-end	LASCU_2022	LODO	9.13556849886017
SRR15714625_CASR_2022	paired-end	CASR_2022	LODO	4.45973024179678
SRR6914768_SCHMIDT_2018	paired-end	SCHMIDT_2018	BIOFILME	3.02477141851978
SRR8618614_LIU_2019	paired-end	LIU_2019	LODO	6.47196725885328
SRR30160155_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.34900091140588
SRR21755286_DONGHUA_2022	paired-end	DONGHUA_2022	LODO	5.25510897498573
SRR26068518_LASCU_2022	paired-end	LASCU_2022	LODO	6.10575587979271
SRR27374968_DONGHUA_2023	paired-end	DONGHUA_2023	LODO	5.10602330133541
SRR30160121_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.12507786801333
SRR5133619_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	4.28863812296556
SRR3215163_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	8.15781856183626
SRR27374972_DONGHUA_2023	paired-end	DONGHUA_2023	LODO	4.82336463338296
SRR25536422_CUOG_2023	paired-end	CUOG_2023	LODO	7.45375564740698
SRR30160131_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.2693744355952
SRR11319462_WANG_2021	paired-end	WANG_2021	LODO	4.45887643853172
SRR15714626_CASR_2022	paired-end	CASR_2022	LODO	4.2072825195724
SRR24888906_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	6.39303252507693
SRR26284396_SCUT_2023	paired-end	SCUT_2023	LODO	5.84184448160891
SRR25536413_CUOG_2023	paired-end	CUOG_2023	LODO	7.46541060006505
SRR5121314_ZHAO_2017	paired-end	ZHAO_2017	SEDIMENTO	7.34390102191899
SRR25536419_CUOG_2023	paired-end	CUOG_2023	LODO	7.14500947044453
SRR30160153_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.97128599208048
SRR24888900_SHANDONG_2023	paired-end	SHANDONG_2023	LODO	5.53761725359004
SRR25536407_CUOG_2023	paired-end	CUOG_2023	LODO	7.08230349694808
SRR10131541_ZHANG_2020	paired-end	ZHANG_2020	LODO	6.45285479108987
SRR30160164_CASTELLANO-HINOJOSA_2024	paired-end	CASTELLANO-HINOJOSA_2024	PEIXE	7.20960130695244
SRR5133623_SRINIVASAN_BUTLER_2017	paired-end	SRINIVASAN_BUTLER_2017	LODO	2.88924739579657
SRR20853641_LASCU_2022	paired-end	LASCU_2022	LODO	9.14732279702168
SRR11319470_WANG_2021	paired-end	WANG_2021	LODO	4.16919372528455
