,Abundance,Percentage
PWY-3781,23.88022644987356,0.6870363246357708
PWY-5101,21.032071651193412,0.6050946475337389
PWY-7111,20.93957333926189,0.6024334625404625
ILEUSYN-PWY,20.330127396118773,0.5848996463632945
VALSYN-PWY,20.330127396118773,0.5848996463632945
PWY-7219,20.109644334219006,0.5785563282708122
PWY-7208,20.04432417435062,0.5766770612272271
BRANCHED-CHAIN-AA-SYN-PWY,19.825806943242018,0.5703903002685079
PWY-7229,19.819589175970034,0.5702114145287536
NONOXIPENT-PWY,19.709969222605636,0.5670576383271624
PWY-5686,19.51229757757448,0.5613706068087644
PWY-7663,19.47862628445158,0.5604018805899637
PWY-6121,19.472207893916693,0.5602172229003717
PWY-6126,19.392595010585232,0.557926752880227
PWY-5973,19.34726032347636,0.5566224697372186
PWY-6122,19.340814300470644,0.556437017058884
PWY-6277,19.340814300470644,0.556437017058884
PWY0-1319,19.304188952822905,0.5553833024180607
PWY-5667,19.304188952822905,0.5553833024180607
PWY-3001,19.10945015266462,0.5497806491180357
PWY-5103,19.024229377800953,0.5473288395396028
PWY-2942,19.022945311630536,0.5472918968370634
SER-GLYSYN-PWY,19.001406710972855,0.5466722293031431
THRESYN-PWY,18.994257504917453,0.5464665459834025
PWY0-162,18.993103941774976,0.5464333578650525
PWY-5104,18.900681962651262,0.54377436897372
CALVIN-PWY,18.871565145540735,0.5429366754512276
PHOSLIPSYN-PWY,18.74323233798426,0.5392445287030021
PWY-7221,18.727286466444102,0.5387857645032965
P42-PWY,18.681930852345282,0.5374808792888509
PWY-7222,18.629434991948983,0.5359705685277294
PWY-7220,18.629434991948983,0.5359705685277294
PWY-5097,18.60265040194728,0.5351999733949623
PWY-7228,18.314061764798847,0.5268972516006656
PWY-6123,18.211709538590604,0.5239525685818506
PWY-841,18.165192632346685,0.5226142728849344
PWY4FS-7,18.14491841187034,0.5220309816858262
PWY4FS-8,18.14491841187034,0.5220309816858262
ANAGLYCOLYSIS-PWY,18.112442623314678,0.5210966502440467
COA-PWY,18.103985241368417,0.5208533305828786
PWY-5659,18.092297669413377,0.5205170780562638
PWY-6125,18.03650022320693,0.5189117803658834
PWY-6163,18.030735684456214,0.518745934052624
DTDPRHAMSYN-PWY,17.856747040737066,0.513740264673396
FASYN-ELONG-PWY,17.84621927665138,0.513437379926501
COMPLETE-ARO-PWY,17.816401764837238,0.5125795273525494
GLYCOLYSIS,17.684679499251892,0.5087898655832016
TRNA-CHARGING-PWY,17.64314113520978,0.5075948030061034
ARGSYNBSUB-PWY,17.630085134449146,0.5072191806561288
PWY-6969,17.606748315858276,0.5065477782258788
TCA,17.55324393350411,0.5050084521947094
UDPNAGSYN-PWY,17.546682076051816,0.5048196669486283
TRPSYN-PWY,17.471935996364742,0.5026692153196652
GLUCONEO-PWY,17.42850130175461,0.5014195951366548
ARO-PWY,17.35932537569781,0.4994293973430492
PWY-6387,17.352958494995665,0.4992462215961116
PEPTIDOGLYCANSYN-PWY,17.30164264465809,0.49776985983356753
POLYISOPRENSYN-PWY,17.22878286591564,0.49567367725732336
PWY-5695,17.206091189583926,0.4950208356295654
PWY-6385,17.163076048405667,0.4937832860376118
PWY-6386,17.146120046336115,0.49329546028910665
HISTSYN-PWY,17.090674233227457,0.4917002791154869
PWY-7197,17.077335906591244,0.4913165342239479
GLUTORN-PWY,16.977400953407376,0.4884413963737179
PWY-5484,16.894258000681187,0.4860493659304443
ARGSYN-PWY,16.777098493565155,0.4826786760697725
PWY-7400,16.750140907373954,0.481903103820626
RIBOSYN2-PWY,16.69105891810031,0.48020330952227885
OANTIGEN-PWY,16.52900277822067,0.47554093938264563
PWY-5188,16.52000884975802,0.47528218322855365
PANTOSYN-PWY,16.336255845157076,0.4699955922832454
DENOVOPURINE2-PWY,16.333840999486878,0.46992611694986447
PWY-6897,16.322336798156403,0.46959514001308583
PWY-7184,16.23948794258633,0.46721157077220693
DAPLYSINESYN-PWY,16.196274515426893,0.46596831647422715
NONMEVIPP-PWY,16.187498489200436,0.4657158293876332
PWY-7560,16.187498489200436,0.4657158293876332
PANTO-PWY,16.163203428335247,0.4650168582384836
PWY0-166,16.107645643947,0.46341845564078915
PWY-5189,16.096934841916944,0.46311030487529803
PWY-7323,15.954802946971812,0.45902115710605074
PWY-7211,15.941149358194584,0.458628342093543
PWY-5121,15.939278809380218,0.45857452623106904
PYRIDNUCSYN-PWY,15.919638354224874,0.45800946851888924
1CMET2-PWY,15.363744607677958,0.4420163539930584
PWY-7196,15.293498060294622,0.43999535432482223
P23-PWY,15.250155419474446,0.4387483825378667
FOLSYN-PWY,15.168516480292555,0.436399622703431
PWY-5913,15.156572021401256,0.4360559795158898
ANAEROFRUCAT-PWY,15.139002064344533,0.4355504902255936
PWY-6703,15.128621568981288,0.43525184241347037
PWY-6700,15.111588677601333,0.4347618045523903
PWY-6147,15.029106708754785,0.43238879067649566
PWY-7539,15.014686435342957,0.431973918076108
P108-PWY,14.96544984036942,0.43055737668278393
HSERMETANA-PWY,14.937800804022691,0.4297619113486821
PWY-7234,14.884558519788934,0.428230125904689
PWY-6609,14.750596130306786,0.4243760155635482
PWY-5100,14.679895395763163,0.422341948888684
PWY-7187,14.617613915452107,0.42055010493713685
HEMESYN2-PWY,14.424436162023508,0.4149923630959709
PWY-6612,14.289906973970078,0.41112194590748763
REDCITCYC,14.195202119242321,0.4083972784737888
SULFATE-CYS-PWY,14.1311773182888,0.4065552790260459
THISYN-PWY,14.092640070186247,0.4054465588322265
NAGLIPASYN-PWY,13.93663485777459,0.40095827443574855
PWY-5345,13.795797935548132,0.3969063831514432
PWY-6467,13.792045238653497,0.3967984177145419
COLANSYN-PWY,13.75136373048104,0.3956280069600998
GLYCOGENSYNTH-PWY,13.719124425973735,0.3947004791862738
PWY-1269,13.710418247444167,0.3944500016243825
PWY-6545,13.67051103047543,0.39330186729951766
GLYCOCAT-PWY,13.524581877163367,0.38910347205568785
P105-PWY,13.507021455785118,0.38859825710774365
FAO-PWY,13.454246051156252,0.38707990383318447
GLYCOLYSIS-E-D,13.317743692172591,0.38315271833445796
PWY-7200,13.27859549696993,0.38202642113603663
COBALSYN-PWY,13.222946016192143,0.3804253804247304
PWY-7094,13.17992548117573,0.37918767565155403
PENTOSE-P-PWY,13.1759878867819,0.37907439069649207
PWY0-1586,13.049283713780426,0.3754290999151139
PWYG-321,13.005243437588955,0.374162057093973
PWY-6737,12.974732983089599,0.3732842684948487
PWY-7664,12.933159649279789,0.372088199834298
PWY-5918,12.93188346815089,0.3720514839851326
P4-PWY,12.930499412989478,0.3720116645900701
PWY-7392,12.891348499949624,0.3708852891992212
PWY-6628,12.886454395435697,0.3707444853594968
PYRIDNUCSAL-PWY,12.845298336260832,0.3695604217288045
PWY-6630,12.7832777647452,0.36777608414744395
SO4ASSIM-PWY,12.735343861632181,0.3663970213194869
PWY-5505,12.732805814421665,0.3663240014663911
PWY-6269,12.61730512700676,0.3630010360020137
PWY0-781,12.613562441876134,0.36289335860448935
PWY-5989,12.598353431291514,0.3624557939626574
PWY-5347,12.527204082234004,0.3604088206067177
PWY-6282,12.507823637841122,0.35985124342823316
PRPP-PWY,12.452249826582253,0.35825237973598795
FERMENTATION-PWY,12.393127375357178,0.3565514213435541
PWY0-862,12.382899738260837,0.3562571712779139
PWY0-1261,12.288686052859816,0.3535466348311939
PWY-5509,12.287102642409998,0.35350107996603736
PWY-5154,12.262613186479369,0.3527965160528673
PWY-6608,12.198109125099409,0.350940728238309
SALVADEHYPOX-PWY,12.108192385529021,0.34835381532073917
GLYCOLYSIS-TCA-GLYOX-BYPASS,11.870302753993464,0.3415097086091794
PWY-7199,11.847017239703884,0.34083978220842487
MET-SAM-PWY,11.844342482945672,0.34076282920899187
PWY-6519,11.804913407482827,0.3396284510594948
PWY-6353,11.769857119741598,0.3386198784173691
BIOTIN-BIOSYNTHESIS-PWY,11.75771349182856,0.3382705051186431
FASYN-INITIAL-PWY,11.73981967968698,0.3377556984875887
HEME-BIOSYNTHESIS-II,11.317591317310889,0.3256081494326096
PWY-6892,11.192989028633377,0.32202333005772227
PWY-6708,11.182632394913616,0.32172536874729
PWY-5856,11.182632394913616,0.32172536874729
PWY-5855,11.182632394913616,0.32172536874729
PWY-5857,11.182632394913616,0.32172536874729
PWY0-1479,11.16635189429533,0.3212569772380429
HISDEG-PWY,11.062710863320909,0.31827521518685
UBISYN-PWY,11.037617978415547,0.31755329056624065
TCA-GLYOX-BYPASS,10.848793375132379,0.31212078925756226
PWY0-1061,10.705793048497034,0.30800665662823024
PWY-6317,10.41254340042725,0.299569837118436
ASPASN-PWY,10.279557356086903,0.2957438163173675
P161-PWY,10.254724859670413,0.29502938309767723
PWY-6151,10.173005589760377,0.2926783121407598
PWY-6901,10.117296818758359,0.2910755656442162
GLYOXYLATE-BYPASS,9.99451776263317,0.2875432008385656
PWY-6895,9.931204640048696,0.28572167644335283
HOMOSER-METSYN-PWY,9.782458790605805,0.2814422445912059
LEU-DEG2-PWY,9.751608192088803,0.28055467001721995
PWY0-1297,9.681548792316734,0.278539054603077
ARG+POLYAMINE-SYN,9.584309889190715,0.27574148236248097
P164-PWY,9.5436576106133,0.27457191254619284
PWY0-1241,9.434831455562307,0.27144097399552963
PWY0-1296,9.415922692640024,0.2708969671365995
PYRIDOXSYN-PWY,9.415062472615698,0.27087221852690224
PWY0-1298,9.37621106179234,0.2697544598425354
PWY-7328,9.321122473460346,0.2681695560587948
PWY-5920,9.1547817270553,0.26338391739296463
PWY-7254,8.928889011778898,0.2568849630722733
PWY-5971,8.61226853315487,0.24777576260489573
PWY-6263,8.569337442064954,0.24654063114176109
PWY0-1415,8.494797996332021,0.24439612439077874
PWY-621,8.217426487114691,0.2364161204049974
PWY-4984,8.076432295045434,0.23235970445276236
PWY-6590,8.060945959033656,0.23191416113272975
PWY-5676,7.969656000663956,0.22928774058323773
POLYAMSYN-PWY,7.878283013438835,0.22665893128589243
PWY0-845,7.691342427477342,0.22128063332988954
ARGORNPROST-PWY,7.558856498048185,0.21746900088109236
PWY-7242,7.514727823588679,0.21619941483360045
PPGPPMET-PWY,7.478031308922304,0.21514365271106567
CENTFERM-PWY,7.47638482209821,0.21509628313278467
PWY-5022,7.37902527790309,0.21229524003746744
METH-ACETATE-PWY,7.318224366320003,0.21054599218522313
PWY-7332,7.195755385974133,0.2070225482884354
PWY-5384,7.030771539022643,0.20227594774544
P124-PWY,7.016743454149008,0.20187235844558596
PWY-6588,6.9921543693301285,0.20116492820008214
GLUCOSE1PMETAB-PWY,6.950432228381842,0.19996457834438813
PWY-5838,6.767083577851312,0.19468962070310117
GALACTUROCAT-PWY,6.750048825123138,0.19419952929086057
PWY-1861,6.735166571528662,0.19377136547787044
PWY-5840,6.710329029711082,0.19305678710152394
PWY-181,6.677712591880428,0.19211840916708844
POLYAMINSYN3-PWY,6.640338052368668,0.19104314020701332
TYRFUMCAT-PWY,6.63334425916818,0.19084192812948922
CODH-PWY,6.529100026031878,0.18784281189628366
PWY-5898,6.52216259192436,0.1876432212750793
PWY-5897,6.52216259192436,0.1876432212750793
PWY-5899,6.52216259192436,0.1876432212750793
PWY-7371,6.521671420346649,0.18762909022333968
PWY-5747,6.386483710625212,0.1837397273055339
P122-PWY,6.220612372083469,0.17896759354736602
PWY-6891,6.148788210188079,0.17690120576363902
PWY-7377,6.022218701777161,0.17325978929499183
PWY-6507,5.987493637962994,0.1722607459958964
PWY-5861,5.8442768405585594,0.16814038548250732
PWY-5304,5.677055481416118,0.16332941150673794
PWY-7376,5.650379625718174,0.16256194466995147
PWY-7374,5.554321193086857,0.15979833467471866
NAD-BIOSYNTHESIS-II,5.545505765461114,0.15954471400622142
P221-PWY,5.5329698171792465,0.1591840536141821
P441-PWY,5.474239516976515,0.1574943774429474
PWY0-42,5.31502501327362,0.15291376143906002
PWY-5845,5.2347102465209066,0.15060309816793951
PWY-5850,5.185129234399054,0.14917664786138896
PWY-5896,5.185129234399054,0.14917664786138896
PWY-6478,5.114930337818855,0.14715701911116819
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,5.101340170411998,0.1467660287373545
PWY-5028,5.090932885194117,0.14646661017863447
GLUCUROCAT-PWY,4.810795425912331,0.13840702955356127
PWY-5863,4.808143940426984,0.13833074607080195
PWY-5182,4.803394319739206,0.1381940990441251
PWY-5180,4.803394319739206,0.1381940990441251
PWY-2941,4.7808021042598865,0.13754411891429374
RUMP-PWY,4.767139905209551,0.13715105618343199
PWY-5837,4.568661053581041,0.1314408012565361
PWY-7237,4.526956474856655,0.13024095666764873
PWY-6471,4.503403821297195,0.12956334464538097
PWY-7003,4.496035886957909,0.12935136849267379
PWY-5862,4.472595344995871,0.1286769819314377
PWY-5860,4.4300423945653655,0.1274527296100642
PWY-7431,4.402334335833422,0.12665556619647828
DENITRIFICATION-PWY,4.366639570164825,0.1256286244853029
ALL-CHORISMATE-PWY,4.33793759625135,0.12480286603997585
GALACT-GLUCUROCAT-PWY,4.307937844178309,0.12393977039691276
PWY-5415,4.248532455528986,0.12223067186860265
HEXITOLDEGSUPER-PWY,4.2354979092420395,0.12185566676582123
PWY0-1533,4.14785171698626,0.11933407770458979
PWY-7210,4.113352100948318,0.11834152055887737
RHAMCAT-PWY,3.898616217093473,0.11216354931054241
P101-PWY,3.8844490002533014,0.11175595717113701
CATECHOL-ORTHO-CLEAVAGE-PWY,3.8147863413163257,0.10975175602753068
NADSYN-PWY,3.801767133909591,0.10937719222575226
PWY-5507,3.6906052744961055,0.10617905524445392
P381-PWY,3.688841770454091,0.10612831906998552
PWY-5420,3.6768621235150523,0.10578366351905481
P461-PWY,3.6355124149036113,0.10459402857615355
PWY-5417,3.630115441951155,0.10443875716492144
PWY-5431,3.630115441951155,0.10443875716492144
P162-PWY,3.622643605146342,0.10422379172866678
P281-PWY,3.615994056673758,0.10403248360381791
PWY-7007,3.5259397832811006,0.10144161382545516
PWY-7198,3.51612768091,0.10115931873231016
PWY-6182,3.505097949638317,0.10084199234302639
METHANOGENESIS-PWY,3.488475556972775,0.10036376456794399
GLCMANNANAUT-PWY,3.461323596296805,0.09958260014688498
PWY-5419,3.431550772316923,0.09872603324606005
PWY-5198,3.405739358692877,0.0979834364877277
PWY-5177,3.392829397466316,0.09761201570866163
PWY-5005,3.391740404281065,0.0975806852739558
PWY-5741,3.3826320551456757,0.09731863722652154
ENTBACSYN-PWY,3.366446043772506,0.09685296418159971
P241-PWY,3.361881068879888,0.09672162943153516
P125-PWY,3.3584640552965643,0.0966233216345616
PWY-6383,3.2937846209114885,0.0947624883224186
P562-PWY,3.2743800531007845,0.09420421711097109
PWY-6654,3.248031708714787,0.0934461728049344
PWY-6174,3.2158216040059546,0.09251948511201236
PWY-5910,3.163930758270033,0.09102658067865267
PWY-5705,3.163908284767132,0.09102593411389469
PWY490-3,3.144144339760446,0.09045732358726508
PWY-7315,3.1390657136655373,0.09031121104458173
PWY-7286,3.122119560747611,0.08982366865708023
PWY-5651,3.0989475238404673,0.08915700701111863
P163-PWY,3.084867454606783,0.08875192211641576
PWY-6350,3.043705885331372,0.0875676999596209
PWY-6349,3.0328269611980962,0.0872547123056635
PWY-7090,2.9429554345000972,0.0846691001666159
AST-PWY,2.9198837099114336,0.08400532451533903
PWY-7013,2.914938575586694,0.08386305254323562
PWY-1622,2.895110314952817,0.0832925916500605
PWY1G-0,2.8929865528838348,0.08323149081882102
PWY-6396,2.827492055307438,0.0813472080632447
SUCSYN-PWY,2.811857945418748,0.08089741327509962
PWY-6728,2.80491134584744,0.0806975589626539
FUCCAT-PWY,2.7948277230430474,0.08040745220151889
METHYLGALLATE-DEGRADATION-PWY,2.7801803407680734,0.0799860456581238
PWY-6749,2.7646010097200286,0.07953782686229285
PWY-5430,2.7641611117844476,0.07952517095798177
PWY-922,2.763997764324355,0.07952047143644013
P341-PWY,2.732816495399112,0.07862338344421164
PWY-5532,2.7206540396278096,0.07827346846626113
PWY-6165,2.558948675612702,0.07362119018070838
P184-PWY,2.5525165642559657,0.07343613774180226
GALLATE-DEGRADATION-I-PWY,2.519040845100126,0.0724730382041306
GLUCARDEG-PWY,2.437659101146474,0.0701316779002101
PWY-6562,2.4316138353244647,0.06995775504313345
PWY-5181,2.420680278825017,0.06964319561094606
PWY-7456,2.4045930905887705,0.06918036571681778
PWY0-321,2.3967982624838124,0.0689561077909711
GALACTARDEG-PWY,2.374752198004939,0.06832184047595874
GLUCARGALACTSUPER-PWY,2.374752198004939,0.06832184047595874
PWY-5531,2.3546874677709084,0.0677445763305063
PWY-7159,2.3546874677709084,0.0677445763305063
PWY-6148,2.3234492083376432,0.0668458487160886
PWY-3661,2.2839279943499116,0.0657088197327048
PWY-5178,2.2409600182618967,0.06447262708476181
KDO-NAGLIPASYN-PWY,2.235559043054694,0.06431724052829031
PWY-6185,2.0987803292627234,0.06038210427615728
PWY-6876,2.0778539854157776,0.0597800514273349
TEICHOICACID-PWY,2.030500415666321,0.058417684843946716
PWY-5655,2.0255975328448237,0.05827662845150119
PWY-5654,1.986938751115864,0.05716441172400439
PWY0-1277,1.9682126204728136,0.05662565921264708
PWY-7255,1.9075600597070246,0.05488067942714357
PWY-5941,1.8644465447312044,0.0536402996119315
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,1.8526354657944253,0.053300493778023636
PWY-6167,1.845956003123138,0.05310832501891008
PWY-6071,1.7850747860353071,0.051356766769863525
PWY-6505,1.748902207944135,0.05031607835107799
GOLPDLCAT-PWY,1.7391196389732366,0.05003463293658958
PWY-6641,1.7059094383952829,0.04907917239297254
PWY-1541,1.703546457973661,0.049011189227592386
KETOGLUCONMET-PWY,1.6998249396828384,0.04890412080200779
PWY-7347,1.6744493845130464,0.04817406373173497
PWY-7098,1.670178431290522,0.04805118801232528
PWY-5647,1.6302947569046373,0.04690373100974761
FUC-RHAMCAT-PWY,1.6164919453087734,0.046506622842939896
PWY-6338,1.6060275542081486,0.04620556134268923
PWY-7097,1.6060275542081486,0.04620556134268923
PWY-7616,1.5885469267083714,0.045702642072012155
PWY-6404,1.5872471434711588,0.04566524718800667
PWY-6944,1.574739931990945,0.04530541355641001
CRNFORCAT-PWY,1.5721346405904078,0.04523045908174507
P261-PWY,1.569238392738124,0.045147133763040734
GALLATE-DEGRADATION-II-PWY,1.557409666331967,0.044806820209805934
PWY-6339,1.48445226685313,0.04270782907594299
PWY-6470,1.4711845492528566,0.04232611561290146
PWY-5183,1.348088374425275,0.03878462727283961
PWY0-41,1.342656331373188,0.03862834689159604
PWY-6690,1.3044832797737864,0.03753010466487195
HCAMHPDEG-PWY,1.3044832797737864,0.03753010466487195
PWY-6210,1.3010730792188405,0.037431992879355225
PWY-6992,1.29097809294204,0.03714155919006756
PWY-7391,1.2113242803969266,0.03484991163265878
GLYCOL-GLYOXDEG-PWY,1.2081828375698642,0.03475953203184181
PWY-6141,1.1249766174024851,0.03236568137843088
PWY-5677,1.120886552639449,0.03224800983673854
PWY-6397,1.0912601749558537,0.03139565620940867
PWY-7527,1.087465626867935,0.031286486709804065
PWY-7373,1.0770136143713396,0.030985781343136738
PWY-5529,1.044442342124915,0.03004870282673878
PWY-5266,0.972819120543917,0.027988096114450137
PWY-5273,0.972819120543917,0.027988096114450137
PWY-1882,0.9700052023555463,0.027907139427794676
CHLOROPHYLL-SYN,0.941372774064476,0.027083381816459362
LIPASYN-PWY,0.9063120218696302,0.026074680731590045
PWY-3801,0.9036684014376523,0.025998623527143907
PWY-6107,0.885471092617341,0.025475085268559475
ORNDEG-PWY,0.8699336295846654,0.025028071019404807
PWY-4361,0.8631812377932088,0.024833804082755734
PWY0-1338,0.8563149109960426,0.024636259225449823
ORNARGDEG-PWY,0.852215146403954,0.024518308618778115
ARGDEG-PWY,0.852215146403954,0.024518308618778115
PWY-1361,0.8484852779513313,0.024410999958265876
PWY-7295,0.8052873917010844,0.02316819277368154
LACTOSECAT-PWY,0.7674254534793071,0.022078901307619494
PWY-6948,0.7554652535881797,0.021734805250056652
METHGLYUT-PWY,0.7439729913916845,0.021404171803267355
THREOCAT-PWY,0.7392935488643613,0.02126954380876048
PWY-5088,0.7230534875841829,0.0208023157430127
PWY-722,0.7065964632250286,0.02032884562940686
P621-PWY,0.6995240131790633,0.02012537058716011
PWY-6629,0.6905599735494073,0.019867474337558973
DHGLUCONATE-PYR-CAT-PWY,0.6794767941858213,0.019548610241725512
PWY-5265,0.6672283699584725,0.019196221943339756
PWY-622,0.6613885317623854,0.01902820925806941
PWY-6830,0.6083111968678716,0.017501169421829423
PWY-6572,0.6019372125101334,0.017317789302063034
PWY-5392,0.5115740128179586,0.014718031685477754
ECASYN-PWY,0.4972266890203643,0.014305257852241736
PWY-6731,0.46184720890263475,0.013287386935538681
VALDEG-PWY,0.4365704057297243,0.012560170969353815
PWY-4722,0.42661347551007206,0.012273709165604843
PWY-7084,0.42399568445121033,0.012198395074613289
PWY-6957,0.39030703354137364,0.011229169470676259
LPSSYN-PWY,0.3755109201243105,0.010803483918560947
PWY-3081,0.3584741492303338,0.010313334443503464
PWY-6906,0.29567249808860896,0.008506525129025753
PWY-1501,0.2608978507637056,0.0075060553077383905
PWY-7446,0.24360734921512747,0.007008605978269945
PWY-7046,0.23889874508861783,0.006873139001856113
PWY-6581,0.2372498612184612,0.006825700460338027
PWY-3941,0.2302860420208391,0.006625350737649881
PWY-6143,0.2079261111457682,0.005982053457376395
CENTBENZCOA-PWY,0.20014569104580915,0.005758210051166717
PWY-7024,0.194975850346998,0.005609473255888863
PWY-5743,0.17575652738846997,0.005056531555979443
PWY-5744,0.17352058989266342,0.004992203427330463
PWY-6713,0.14390139149033476,0.00414005634858694
PWY-7316,0.12593381187247477,0.0036231274204142137
AEROBACTINSYN-PWY,0.11777711586134429,0.003388458521422763
PWY5F9-12,0.10945085894264447,0.00314891133943082
PWY-6113,0.08151640552883758,0.0023452345298990303
PWY-1422,0.07480769291191487,0.0021522242471429965
PWY-6285,0.06488447103173303,0.0018667322354396702
PWY-5184,0.04772338026701833,0.0013730060661975485
PWY-6284,0.047135420911100664,0.0013560904211230428
PWY-7385,0.03166968947145229,0.0009111398965372018
PWY-7398,0.031481280804370126,0.0009057193617515137
PWY-6565,0.026626496379181266,0.000766046764618399
BENZCOA-PWY,0.025902658772939624,0.0007452218897090556
PWY-5656,0.0247603814563079,0.00071235846561294
PWY-5823,0.022987350666840958,0.0006613482057387973
PWY-7401,0.021122521925915936,0.0006076969103070045
PWY-5499,0.016910114156085725,0.0004865055489886265
PWY-5789,0.012048763508181048,0.00034664404102039553
PWY-7031,0.009182260168836534,0.00026417447470563195
PWY-5179,0.008362280642754287,0.00024058358786631926
PWY-7644,0.007458951990893583,0.0002145947389659417
PWY-7002,0.007442156815933163,0.00021411154022824786
PWY-7528,0.006916230678663744,0.00019898059659427815
PWY-6956,0.0058040383480686825,0.00016698272033024593
PWY-6142,0.005122551827429806,0.00014737629007250305
PWY-2221,0.004601429117256426,0.00013238354148055462
PWY-5427,0.004525359824132037,0.00013019502087856103
PWY-6486,0.00393306730573809,0.00011315471031865858
PWY-7209,0.003669349136111272,0.00010556751417626014
PWY-7354,0.0029108372678448074,8.374505754000143e-05
PWY-6760,0.0012909809774541224,3.714164217774708e-05
